date,smp_mean
2018-02-01,132.71
2018-02-02,134.19
2018-02-03,131.39
2018-02-04,131.89
2018-02-05,137.96
2018-02-06,140.06
2018-02-07,132.76
2018-02-08,132.91
2018-02-09,126.95
2018-02-10,130.1
2018-02-11,127
2018-02-12,138.91
2018-02-13,132.89
2018-02-14,132.9
2018-02-15,129.99
2018-02-16,121.13
2018-02-17,126.44
2018-02-18,130.39
2018-02-19,133.35
2018-02-20,125.54
2018-02-21,134.82
2018-02-22,134.31
2018-02-23,128.36
2018-02-24,125.61
2018-02-25,126.36
2018-02-26,131.38
2018-02-27,129.76
2018-02-28,130.85
2018-03-01,134.24
2018-03-02,138.56
2018-03-03,133.78
2018-03-04,128.29
2018-03-05,135.75
2018-03-06,134.07
2018-03-07,132.96
2018-03-08,128.11
2018-03-09,137.74
2018-03-10,130.04
2018-03-11,124.04
2018-03-12,124.43
2018-03-13,123.89
2018-03-14,125.3
2018-03-15,132.88
2018-03-16,131
2018-03-17,143.32
2018-03-18,133.31
2018-03-19,131.33
2018-03-20,130.42
2018-03-21,134.24
2018-03-22,135.83
2018-03-23,132.32
2018-03-24,129.99
2018-03-25,127.22
2018-03-26,129.68
2018-03-27,125.03
2018-03-28,129.51
2018-03-29,136.7
2018-03-30,133.94
2018-03-31,135.34
2018-04-01,129.73
2018-04-02,128.9
2018-04-03,128.96
2018-04-04,128.51
2018-04-05,128.94
2018-04-06,128.48
2018-04-07,130.96
2018-04-08,132.52
2018-04-09,130.04
2018-04-10,127.17
2018-04-11,123.6
2018-04-12,122.15
2018-04-13,127.18
2018-04-14,118.1
2018-04-15,118.32
2018-04-16,126.7
2018-04-17,128.95
2018-04-18,129.06
2018-04-19,131.39
2018-04-20,126.6
2018-04-21,129.26
2018-04-22,126.33
2018-04-23,130
2018-04-24,130.2
2018-04-25,130.26
2018-04-26,130.28
2018-04-27,128.72
2018-04-28,126.08
2018-04-29,126.07
2018-04-30,125.65
2018-05-01,124.66
2018-05-02,124.41
2018-05-03,125.97
2018-05-04,125.36
2018-05-05,125.65
2018-05-06,120.98
2018-05-07,124.83
2018-05-08,128.58
2018-05-09,128.99
2018-05-10,127.54
2018-05-11,127.95
2018-05-12,124.47
2018-05-13,122.69
2018-05-14,129.57
2018-05-15,128.76
2018-05-16,128.5
2018-05-17,127.86
2018-05-18,131.27
2018-05-19,126.92
2018-05-20,105.71
2018-05-21,130.97
2018-05-22,133.14
2018-05-23,137.1
2018-05-24,145.74
2018-05-25,134.43
2018-05-26,129.48
2018-05-27,135.18
2018-05-28,133.92
2018-05-29,138.52
2018-05-30,140.81
2018-05-31,132.31
2018-06-01,144.78
2018-06-02,134.85
2018-06-03,134.25
2018-06-04,141.64
2018-06-05,140.21
2018-06-06,134.7
2018-06-07,145.34
2018-06-08,140.51
2018-06-09,141.16
2018-06-10,142.21
2018-06-11,144.93
2018-06-12,142.29
2018-06-13,140.6
2018-06-14,144.33
2018-06-15,135.96
2018-06-16,135.25
2018-06-17,139.19
2018-06-18,140.62
2018-06-19,141.52
2018-06-20,140.43
2018-06-21,146.03
2018-06-22,144.27
2018-06-23,136.96
2018-06-24,137.05
2018-06-25,143.37
2018-06-26,141.39
2018-06-27,142.24
2018-06-28,139.11
2018-06-29,138.47
2018-06-30,135.26
2018-07-01,153.22
2018-07-02,148.69
2018-07-03,143.05
2018-07-04,142.34
2018-07-05,132.74
2018-07-06,139.86
2018-07-07,145.15
2018-07-08,130.17
2018-07-09,132.78
2018-07-10,153.14
2018-07-11,153.37
2018-07-12,157.29
2018-07-13,154.04
2018-07-14,157.14
2018-07-15,148.33
2018-07-16,154.81
2018-07-17,159.18
2018-07-18,155.71
2018-07-19,158.08
2018-07-20,164.65
2018-07-21,156.28
2018-07-22,153.98
2018-07-23,164.75
2018-07-24,160.71
2018-07-25,158.57
2018-07-26,160.8
2018-07-27,161.61
2018-07-28,155.69
2018-07-29,154.16
2018-07-30,157.47
2018-07-31,161.64
2018-08-01,162.28
2018-08-02,162.43
2018-08-03,161.79
2018-08-04,162.27
2018-08-05,157.76
2018-08-06,166.06
2018-08-07,159.01
2018-08-08,166.09
2018-08-09,166.85
2018-08-10,163.26
2018-08-11,159.61
2018-08-12,156.64
2018-08-13,166.37
2018-08-14,164.43
2018-08-15,163.58
2018-08-16,159.37
2018-08-17,159.15
2018-08-18,157.84
2018-08-19,150.05
2018-08-20,160.14
2018-08-21,156.51
2018-08-22,151.56
2018-08-23,154.32
2018-08-24,161.45
2018-08-25,146.93
2018-08-26,152.21
2018-08-27,158.96
2018-08-28,160.68
2018-08-29,160.84
2018-08-30,159.08
2018-08-31,157.16
2018-09-01,159.37
2018-09-02,160.98
2018-09-03,164.31
2018-09-04,167.35
2018-09-05,165.95
2018-09-06,163.21
2018-09-07,160.74
2018-09-08,163.1
2018-09-09,160.6
2018-09-10,164.46
2018-09-11,153.44
2018-09-12,154.31
2018-09-13,159.42
2018-09-14,152.8
2018-09-15,156.98
2018-09-16,149.37
2018-09-17,142.54
2018-09-18,161.28
2018-09-19,164.38
2018-09-20,168.13
2018-09-21,163.15
2018-09-22,168.32
2018-09-23,166.88
2018-09-24,159.74
2018-09-25,163.38
2018-09-26,165.43
2018-09-27,164.26
2018-09-28,172.56
2018-09-29,169.26
2018-09-30,162.18
2018-10-01,162.93
2018-10-02,160.02
2018-10-03,156.42
2018-10-04,149.29
2018-10-05,156.58
2018-10-06,156.5
2018-10-07,151.21
2018-10-08,156
2018-10-09,156.04
2018-10-10,155.69
2018-10-11,163.67
2018-10-12,163.03
2018-10-13,147.91
2018-10-14,152.53
2018-10-15,159.02
2018-10-16,158.66
2018-10-17,164.75
2018-10-18,165.93
2018-10-19,163.96
2018-10-20,158.1
2018-10-21,159.32
2018-10-22,163.55
2018-10-23,162.86
2018-10-24,162.01
2018-10-25,160.86
2018-10-26,164.69
2018-10-27,160.75
2018-10-28,159.61
2018-10-29,162.77
2018-10-30,155.85
2018-10-31,157.79
2018-11-01,168.74
2018-11-02,161.82
2018-11-03,163.33
2018-11-04,165.42
2018-11-05,168.12
2018-11-06,168.46
2018-11-07,161.39
2018-11-08,160.19
2018-11-09,163.48
2018-11-10,166.77
2018-11-11,152.12
2018-11-12,165.63
2018-11-13,162.92
2018-11-14,164.99
2018-11-15,159.4
2018-11-16,154.59
2018-11-17,156.76
2018-11-18,148.43
2018-11-19,154.05
2018-11-20,156.51
2018-11-21,154.65
2018-11-22,156.96
2018-11-23,162.23
2018-11-24,152.31
2018-11-25,153.78
2018-11-26,154.21
2018-11-27,155.4
2018-11-28,163.78
2018-11-29,162.1
2018-11-30,164.16
2018-12-01,169.49
2018-12-02,161.04
2018-12-03,173.87
2018-12-04,175.42
2018-12-05,170.85
2018-12-06,174.03
2018-12-07,178.78
2018-12-08,168.4
2018-12-09,168.12
2018-12-10,176.1
2018-12-11,170.77
2018-12-12,175.2
2018-12-13,174.66
2018-12-14,173.6
2018-12-15,173.94
2018-12-16,166.51
2018-12-17,166.48
2018-12-18,172.24
2018-12-19,167.02
2018-12-20,168.83
2018-12-21,173.92
2018-12-22,163.91
2018-12-23,170.15
2018-12-24,170.59
2018-12-25,169.78
2018-12-26,172.32
2018-12-27,174.74
2018-12-28,180.16
2018-12-29,171.66
2018-12-30,175.13
2018-12-31,170.41
2019-01-01,138.28
2019-01-02,158.79
2019-01-03,155.71
2019-01-04,157.04
2019-01-05,147.77
2019-01-06,152.83
2019-01-07,160.03
2019-01-08,153.94
2019-01-09,160.34
2019-01-10,161.03
2019-01-11,158.77
2019-01-12,160.42
2019-01-13,155.67
2019-01-14,159.58
2019-01-15,159.06
2019-01-16,162
2019-01-17,161.14
2019-01-18,157.9
2019-01-19,158.5
2019-01-20,151.87
2019-01-21,162.12
2019-01-22,159.34
2019-01-23,159.2
2019-01-24,161.19
2019-01-25,161.04
2019-01-26,158.62
2019-01-27,154.61
2019-01-28,159.11
2019-01-29,163.04
2019-01-30,155.18
2019-01-31,156.54
2019-02-01,133.5
2019-02-02,136.94
2019-02-03,134.62
2019-02-04,131.18
2019-02-05,121.25
2019-02-06,129.16
2019-02-07,136.11
2019-02-08,139.99
2019-02-09,140.41
2019-02-10,142.92
2019-02-11,141.05
2019-02-12,137.83
2019-02-13,136.21
2019-02-14,132.76
2019-02-15,135.95
2019-02-16,135.76
2019-02-17,135.17
2019-02-18,137.37
2019-02-19,133.36
2019-02-20,136.44
2019-02-21,138.76
2019-02-22,136.38
2019-02-23,141.01
2019-02-24,133.31
2019-02-25,141.62
2019-02-26,142.52
2019-02-27,140.02
2019-02-28,135.37
2019-03-01,142.02
2019-03-02,130.13
2019-03-03,127.65
2019-03-04,133.49
2019-03-05,133.66
2019-03-06,134.74
2019-03-07,134.71
2019-03-08,132.78
2019-03-09,126.69
2019-03-10,126.03
2019-03-11,133.41
2019-03-12,130.22
2019-03-13,143.1
2019-03-14,139.75
2019-03-15,150.07
2019-03-16,152.46
2019-03-17,145.13
2019-03-18,151.62
2019-03-19,150.87
2019-03-20,151.11
2019-03-21,147.59
2019-03-22,152.1
2019-03-23,149.78
2019-03-24,147.13
2019-03-25,150.11
2019-03-26,143.25
2019-03-27,139.69
2019-03-28,148.23
2019-03-29,149.46
2019-03-30,149.03
2019-03-31,149.14
2019-04-01,147.73
2019-04-02,148.66
2019-04-03,147.43
2019-04-04,145.53
2019-04-05,146.23
2019-04-06,146.13
2019-04-07,142.17
2019-04-08,145.95
2019-04-09,151.2
2019-04-10,153.01
2019-04-11,150.53
2019-04-12,146.84
2019-04-13,156.28
2019-04-14,147.16
2019-04-15,148.11
2019-04-16,144.93
2019-04-17,147.63
2019-04-18,145.67
2019-04-19,147.53
2019-04-20,144.4
2019-04-21,147.07
2019-04-22,148.23
2019-04-23,147.19
2019-04-24,146.58
2019-04-25,147.04
2019-04-26,145.24
2019-04-27,149.72
2019-04-28,146.72
2019-04-29,146.38
2019-04-30,147.02
2019-05-01,139.95
2019-05-02,147.09
2019-05-03,145.75
2019-05-04,143.88
2019-05-05,139.69
2019-05-06,143.51
2019-05-07,138.94
2019-05-08,142.56
2019-05-09,142.51
2019-05-10,145.78
2019-05-11,141.83
2019-05-12,139.58
2019-05-13,141
2019-05-14,142.65
2019-05-15,163.91
2019-05-16,147.22
2019-05-17,145.18
2019-05-18,145.17
2019-05-19,147.62
2019-05-20,147.84
2019-05-21,144.42
2019-05-22,139.72
2019-05-23,141.28
2019-05-24,142.97
2019-05-25,149.16
2019-05-26,143.77
2019-05-27,145.98
2019-05-28,149.97
2019-05-29,148.34
2019-05-30,147.88
2019-05-31,145.36
2019-06-01,145.29
2019-06-02,141.84
2019-06-03,142.62
2019-06-04,162.13
2019-06-05,173.58
2019-06-06,156.12
2019-06-07,169.61
